,city,country,date,lat,lon,temp,hum,clouds,wind
363,daru,PG,1586129121,-9.08,143.21,83.41,70,61,8.99
364,luderitz,NA,1586129121,-26.65,15.16,55.4,100,8,2.24
365,ponta do sol,PT,1586129121,32.67,-17.1,64.26,82,75,2.24
366,jamestown,US,1586128997,42.1,-79.24,45.99,70,75,9.17
367,chumikan,RU,1586129121,54.72,135.31,31.95,95,100,2.86
368,batagay-alyta,RU,1586129121,67.8,130.41,14.25,84,99,7.29
369,galle,LK,1586129121,6.04,80.22,78.94,79,13,4.9
370,grindavik,IS,1586129121,63.84,-22.43,38.08,94,90,38.03
371,matay,EG,1586129121,28.42,30.78,66.65,53,0,15.28
372,jacksonville,US,1586129121,30.33,-81.66,66.65,82,75,9.17
373,labuhan,ID,1586129121,-6.88,112.21,80.58,83,77,4.61
374,talara,PE,1586128877,-4.58,-81.27,76.77,70,95,5.23
375,pesochnyy,RU,1586129121,60.12,30.16,27.48,86,53,2.24
376,bambous virieux,MU,1586129121,-20.34,57.76,77.95,74,40,9.17
377,bac lieu,VN,1586128937,9.29,105.72,82.26,77,86,14.72
378,kachug,RU,1586129121,53.96,105.88,25.93,88,0,2.86
379,berbera,SO,1586129121,10.44,45.01,81.55,77,1,3.49
380,san cristobal,VE,1586129121,7.77,-72.22,87.8,62,40,9.17
381,jacareacanga,BR,1586129121,-6.22,-57.75,77.4,91,79,2.64
382,pemba,MZ,1586129122,-12.97,40.52,77.79,84,18,7.02
383,dvinskoy,RU,1586129122,62.15,45.12,21.63,96,32,6.4
